Case,Type,Status,Reason,Origin,Subject,Priority,Description,Sub_Type__c,Account,Contact
Case.055,General,Working,,Website,Question about taxes on my booking.,Low,"Can you help me calculate the taxes on my booking? Because of my location, I'm not sure what they should be.",Other,Account.029,Contact.062
Case.056,General,Closed,Problem Resolved,Community,What do your booking inclusions cover?,Critical,I'm deciding if I need a standard or enhanced rate. Where can I find out what's covered and what's not?,Other,Account.025,Contact.061
Case.057,Account,Closed,Problem Resolved,Mobile Device,Billing address change,High,Customer has changed locations and would like to update their billing address.,Profile,Account.027,Contact.060
Case.058,Account,Closed,New problem,Mobile Device,Where do I send my baggage?,Low,My luggage is arriving before me. To which address should I send it?,Order or Invoice,Account.024,Contact.059
Case.059,Technical,Closed,Problem Resolved,Phone,Setup Instructions are missing,Critical,I'm trying to get the internet working but the most current instructions are out of date.  The newest ones seem to be missing!,Setup and Usage,Account.009,Contact.038
Case.060,Account,Closed,,Twitter,I need to pay my invoice.,High,It seems I have an invoice that's overdue. What's the best way to go about paying this quickly?,Order or Invoice,Account.009,Contact.038
Case.061,General,Closed,,Chat,What does your family rate booking include?,Low,Where can I find out what's covered and what's not?,Other,Account.009,Contact.038
Case.062,General,Closed,,Website,Is my personal information safe?,Low,"I've been hearing a lot about data security recently, and I'd just like to make sure that your company is keeping my personal information safe.",Other,Account.008,Contact.048
Case.063,Technical,Closed,,Email,Can't understand the booking cancelation instructions,Medium,"I can't understand the booking cancelation instructions, and I'm stuck. Can someone please help?",Order or Invoice,Account.022,Contact.020
Case.064,Technical,Closed,,Website,Troubleshooting issues with the entertainment system,High,I think the screen I have is malfunctioning. What should I do?,Troubleshooting,Account.009,Contact.038
Case.065,Account,Closed,,Community,How do I change my communication preferences?,Medium,I'd like to switch from regular mail to email. How do I do this?,Profile,Account.024,Contact.072
Case.066,Technical,Closed,,Phone,Need guidance getting started with my round the world booking,Medium,I need some help getting started with such a huge trip!,Other,Account.016,Contact.029
Case.067,Technical,Closed,,Email,Profile setup help,Low,Need some help with setting up my traveler profile,Setup and Usage,Account.026,Contact.034
Case.068,Account,Closed,Problem Resolved,Chat,How do I set up auto-renewal?,Medium,I don't want to have to remember to renew my Gold Service Level Membership each time. How do I set this up so I don't have to?,Other,Account.031,Contact.033
Case.069,Technical,Closed,,Mobile Device,Does your app work on my mobile device?,High,"I have an older mobile phone, and I don't know if your app will run on it. How would I find out?",Other,Account.007,Contact.008
Case.070,Technical,Closed,Problem Resolved,Twitter,Where can I download your mobile app?,High,"I'd like to use your app on my mobile phone, but I can't seem to figure out where to download it. Can you point me in the right direction?",Setup and Usage,Account.036,Contact.030
Case.071,Account,Closed,,Chat,Customer called to make a payment,Low,Customer called in to make a payment on their account and had a question about updating their mailing address.,Order or Invoice,Account.043,Contact.029
Case.072,Account,Closed,,Community,Please change my contact information.,Medium,Hi! My wife will be taking over this account. How do I change the billing contact to her?,Profile,Account.043,Contact.028
Case.073,Account,Closed,,Phone,How do I upgrade my booking?,Medium,I really like your vacation spots and I'd like to get the all inclusive option. How do I go about doing this?,Other,Account.019,Contact.027
Case.074,General,Closed,,Email,Customer service hours of operation.,Low,Can you please tell me when a customer service representative will be available to talk with me? I have a complex issue that I think is best handled over the phone. Thank you.,Other,Account.018,Contact.026
Case.075,General,Closed,,Mobile Device,Where do I submit a product suggestion?,Medium,I'd have an idea for an improvement to one of your products. What's the best way for me to get this into your feature planning process?,Suggestion,Account.012,Contact.025
Case.076,Account,Closed,New problem,Community,Bill payment clarification.,High,"I seem to have misplaced my last bill, and I want to be sure that it's paid. Can you please check this for me?",Other,Account.020,Contact.023
Case.077,Account,Closed,New problem,Chat,I received the wrong invoice.,Low,I received a different customer's invoice. Would you mind sending me mine so I can pay it?,Order or Invoice,Account.015,Contact.022
Case.078,Account,Closed,,Email,Booking change question,Medium,"I was looking over my booking confirmation, and there seems to be an extra line item. Can you have a look at this for me?",Order or Invoice,Account.021,Contact.021
Case.079,Technical,Closed,,Phone,Travel profile setup issues,High,"I recently made a booking, but I'm having a little trouble getting started with setting up my travel profile. Would you be able to help me? Thank you.",Setup and Usage,Account.022,Contact.020
Case.080,Account Support,Working,Problem Resolved,Chat,Billing statement reprint,Medium,I've managed to lose my most recent billing statement from you. Would you mind sending me a reprint? That would really help me out. Thank you!,Billing,Account.001,Contact.004
Case.081,Product Support,New,Problem Resolved,Twitter,Twitter Message: Help! I'm having trouble making a booking!,Medium,I'm booking a late minute trup and I need help getting the booking completed. Can you help me?,Setup and Usage,Account.012,Contact.025
Case.082,Account Support,Waiting on Customer,Problem Resolved,Email,How do I set up auto-payment?,Medium,I'd like to set up automatic payments rather than having to remember each time. How do I go about doing this?,Other,Paccount.002,
Case.083,General,Working,Problem Resolved,Mobile Device,Entertainment system is shutting down intermittently,Medium,The entertainment system is shutting down periodically and I've trurned it on and off a few times already.,Suggestion,Account.006,Contact.012
Case.084,Product Support,New,Problem Resolved,Community,How do I make a change to my travel dates?,Medium,"I've had some changes for my booking next month. I'd like to change them online to avoid the change fee, can you tell me where to look?",Setup and Usage,Account.006,Contact.012
Case.085,Account Support,New,Problem Resolved,Phone,Error on my bill,High,It appears that I was charged twice this month on my bill. Can you help?,Billing,Account.031,Contact.033
Case.086,Account Support,New,Problem Resolved,Community,Billing issue,Medium,There's a problem with my bill - I have two statements for this month. Please help!,Billing,Account.018,Contact.026
Case.087,Account Support,New,Problem Resolved,Phone,Problem with my bill,Medium,I've been billed twice this month. Please resolve ASAP.,Billing,Account.022,Contact.020
Case.088,Account Support,New,Problem Resolved,LinkedIn,Billing statement incorrect,Medium,Customer's statement is incorrect - he has been billed twice for this month.,,Account.012,Contact.025
Case.089,Account Support,New,Problem Resolved,Instagram,Incorrect bill,Medium,By bill is displaying incorrect information. I was billed double last month. Please help with this stat!,Billing,Paccount.009,
Case.090,Account Support,New,Problem Resolved,Community,Question about my invoice,Medium,There appears to be an error on my invoice. Can you help me correct it so I can get it paid?,Order or Invoice,Account.043,Contact.096
Case.091,Product Support,New,Problem Resolved,Phone,Change of address,Medium,how to do it?,Other,Paccount.002,
Case.092,Product Support,Waiting on Customer,Problem Resolved,Community,What's the booking price guarantee policy?,Medium,"I want to book further in advance but I'm afraid that the price might go down significantly, what price protection guarantee do you offer?",Other,Account.006,Contact.015
